step_id,axis,u_cmd,t_ros_s,u_yaw,u_pitch,rate_roll,rate_pitch,rate_yaw,state_roll,state_pitch,state_yaw
14,pitch,0.5,1776262464.389412,0.0,0.5,0.6,31.3,0.1,0.0,-13.6,0.2
14,pitch,0.5,1776262464.399285,0.0,0.5,0.5,32.8,0.1,0.0,-12.9,0.1
14,pitch,0.5,1776262464.4094348,0.0,0.5,0.5,32.8,0.1,0.0,-12.9,0.1
14,pitch,0.5,1776262464.419427,0.0,0.5,0.5,33.9,0.1,0.0,-12.2,0.0
14,pitch,0.5,1776262464.4294329,0.0,0.5,0.5,33.9,0.1,0.0,-12.2,0.0
14,pitch,0.5,1776262464.4393482,0.0,0.5,0.7,34.2,0.0,0.0,-11.6,0.1
14,pitch,0.5,1776262464.449221,0.0,0.5,0.7,34.2,0.0,0.0,-11.6,0.1
14,pitch,0.5,1776262464.459241,0.0,0.5,0.9,34.6,0.1,0.0,-10.9,0.1
14,pitch,0.5,1776262464.4694374,0.0,0.5,0.9,34.6,0.1,0.0,-10.9,0.1
14,pitch,0.5,1776262464.4792986,0.0,0.5,0.6,35.4,0.0,0.0,-10.2,0.0
14,pitch,0.5,1776262464.4893508,0.0,0.5,0.6,35.4,0.0,0.0,-10.2,0.0
14,pitch,0.5,1776262464.499332,0.0,0.5,0.9,35.2,0.1,0.0,-9.4,0.0
14,pitch,0.5,1776262464.5094275,0.0,0.5,0.9,35.2,0.1,0.0,-9.4,0.0
14,pitch,0.5,1776262464.5195017,0.0,0.5,0.3,35.9,0.2,0.0,-8.7,0.0
14,pitch,0.5,1776262464.5294428,0.0,0.5,0.3,35.9,0.2,0.0,-8.7,0.0
14,pitch,0.5,1776262464.5393732,0.0,0.5,0.7,35.9,0.1,0.0,-8.0,0.0
14,pitch,0.5,1776262464.5492332,0.0,0.5,0.7,35.9,0.1,0.0,-8.0,0.0
14,pitch,0.5,1776262464.5594387,0.0,0.5,0.3,36.0,0.1,0.0,-7.3,0.1
14,pitch,0.5,1776262464.5692472,0.0,0.5,0.3,36.0,0.1,0.0,-7.3,0.1
14,pitch,0.5,1776262464.579592,0.0,0.5,0.7,36.2,0.2,0.0,-6.5,0.1
14,pitch,0.5,1776262464.5894659,0.0,0.5,0.7,36.2,0.2,0.0,-6.5,0.1
14,pitch,0.5,1776262464.59947,0.0,0.5,0.6,36.2,0.0,0.0,-5.8,0.1
14,pitch,0.5,1776262464.6092637,0.0,0.5,0.6,36.2,0.0,0.0,-5.8,0.1
14,pitch,0.5,1776262464.6192436,0.0,0.5,0.2,36.5,0.1,0.0,-5.1,0.0
14,pitch,0.5,1776262464.6294634,0.0,0.5,0.2,36.5,0.1,0.0,-5.1,0.0
14,pitch,0.5,1776262464.6397343,0.0,0.5,0.8,36.4,0.2,0.0,-4.3,0.1
14,pitch,0.5,1776262464.649293,0.0,0.5,0.8,36.4,0.2,0.0,-4.3,0.1
14,pitch,0.5,1776262464.6592479,0.0,0.5,0.5,36.3,0.0,0.0,-3.6,0.1
14,pitch,0.5,1776262464.6694086,0.0,0.5,0.5,36.3,0.0,0.0,-3.6,0.1
14,pitch,0.5,1776262464.6792758,0.0,0.5,0.7,36.6,0.2,0.0,-2.8,0.0
14,pitch,0.5,1776262464.6893468,0.0,0.5,0.7,36.6,0.2,0.0,-2.8,0.0
14,pitch,0.5,1776262464.6993852,0.0,0.5,0.6,36.4,0.1,0.0,-2.1,0.0
14,pitch,0.5,1776262464.7093394,0.0,0.5,0.6,36.4,0.1,0.0,-2.1,0.0
14,pitch,0.5,1776262464.7193613,0.0,0.5,0.6,36.9,0.1,0.0,-1.3,0.0
14,pitch,0.5,1776262464.7294593,0.0,0.5,0.6,36.9,0.1,0.0,-1.3,0.0
14,pitch,0.5,1776262464.7393382,0.0,0.5,0.5,36.7,0.0,0.0,-0.6,0.1
14,pitch,0.5,1776262464.7496793,0.0,0.5,0.5,36.7,0.0,0.0,-0.6,0.1
14,pitch,0.5,1776262464.7593067,0.0,0.5,0.6,36.8,0.2,0.0,-0.0,0.0
14,pitch,0.5,1776262464.7695153,0.0,0.5,0.6,36.8,0.2,0.0,-0.0,0.0
14,pitch,0.5,1776262464.7794406,0.0,0.5,0.5,36.6,0.0,0.0,0.8,0.1
14,pitch,0.5,1776262464.7892478,0.0,0.5,0.5,36.6,0.0,0.0,0.8,0.1
14,pitch,0.5,1776262464.7993875,0.0,0.5,0.4,36.2,0.2,0.0,1.5,0.1
14,pitch,0.5,1776262464.8092391,0.0,0.5,0.4,36.2,0.2,0.0,1.5,0.1
14,pitch,0.5,1776262464.8192482,0.0,0.5,0.4,36.8,0.0,0.0,2.3,0.1
14,pitch,0.5,1776262464.8294177,0.0,0.5,0.4,36.8,0.0,0.0,2.3,0.1
14,pitch,0.5,1776262464.8401396,0.0,0.5,0.3,37.2,0.0,0.0,3.0,0.0
14,pitch,0.5,1776262464.8494322,0.0,0.5,0.3,37.2,0.0,0.0,3.0,0.0
14,pitch,0.5,1776262464.8595548,0.0,0.5,0.6,37.0,-0.1,0.0,3.8,0.0
14,pitch,0.5,1776262464.869253,0.0,0.5,0.6,37.0,-0.1,0.0,3.8,0.0
14,pitch,0.5,1776262464.87984,0.0,0.5,0.8,36.7,0.2,0.0,4.5,0.0
14,pitch,0.5,1776262464.8893044,0.0,0.5,0.8,36.7,0.2,0.0,4.5,0.0
14,pitch,0.5,1776262464.8994336,0.0,0.5,0.5,36.8,0.1,0.0,5.3,0.0
14,pitch,0.5,1776262464.909236,0.0,0.5,0.5,36.8,0.1,0.0,5.3,0.0
14,pitch,0.5,1776262464.9196293,0.0,0.5,0.6,36.8,0.0,0.0,6.0,0.0
14,pitch,0.5,1776262464.929251,0.0,0.5,0.6,36.8,0.0,0.0,6.0,0.0
14,pitch,0.5,1776262464.9392877,0.0,0.5,0.6,36.8,0.0,0.0,6.0,0.0
14,pitch,0.5,1776262464.9492722,0.0,0.5,0.7,36.3,0.2,0.0,6.8,0.0
14,pitch,0.5,1776262464.959503,0.0,0.5,0.7,36.3,0.2,0.0,6.8,0.0
14,pitch,0.5,1776262464.9693658,0.0,0.5,0.5,37.2,0.0,0.0,7.5,0.0
14,pitch,0.5,1776262464.9793615,0.0,0.5,0.5,37.2,0.0,0.0,7.5,0.0
14,pitch,0.5,1776262464.9895506,0.0,0.5,0.4,36.8,0.1,0.0,8.3,0.0
14,pitch,0.5,1776262464.9997635,0.0,0.5,0.8,36.8,0.0,0.0,9.0,0.0
14,pitch,0.5,1776262465.00989,0.0,0.5,0.8,36.8,0.0,0.0,9.0,0.0
14,pitch,0.5,1776262465.019295,0.0,0.5,0.8,36.8,0.0,0.0,9.0,0.0
14,pitch,0.5,1776262465.0296285,0.0,0.5,0.6,37.1,0.2,0.0,9.7,0.0
14,pitch,0.5,1776262465.039198,0.0,0.5,0.6,37.1,0.2,0.0,9.7,0.0
14,pitch,0.5,1776262465.0498135,0.0,0.5,0.8,36.9,0.0,0.0,10.5,0.0
14,pitch,0.5,1776262465.0593407,0.0,0.5,0.8,36.9,0.0,0.0,10.5,0.0
