sample_index,t_received,t_display,latency_ms
422,1776348190.216074,1776348189.956000,260.074
423,1776348190.369557,1776348190.126000,243.557
424,1776348190.420752,1776348190.153000,267.752
425,1776348190.574194,1776348190.320000,254.194
426,1776348190.625008,1776348190.351000,274.008
427,1776348190.728051,1776348190.496000,232.051
428,1776348190.779663,1776348190.524000,255.663
429,1776348190.831075,1776348190.554000,277.076
430,1776348190.932857,1776348190.695000,237.857
431,1776348190.989373,1776348190.724000,265.373
432,1776348191.045193,1776348190.754000,291.193
433,1776348191.152189,1776348190.894000,258.189
434,1776348191.205244,1776348190.923000,282.244
435,1776348191.317068,1776348191.060000,257.068
436,1776348191.370350,1776348191.133000,237.350
437,1776348191.423534,1776348191.162000,261.534
438,1776348191.531112,1776348191.289000,242.112
439,1776348191.583922,1776348191.316000,267.922
440,1776348191.635789,1776348191.361000,274.789
441,1776348191.737803,1776348191.498000,239.803
442,1776348191.790639,1776348191.526000,264.639
443,1776348191.841825,1776348191.558000,283.825
444,1776348191.944376,1776348191.692000,252.376
445,1776348191.996147,1776348191.722000,274.147
446,1776348192.048306,1776348191.766000,282.305
447,1776348192.149623,1776348191.895000,254.623
448,1776348192.200922,1776348191.923000,277.922
449,1776348192.354777,1776348192.082000,272.777
450,1776348192.410079,1776348192.161000,249.079
451,1776348192.568082,1776348192.332000,236.082
452,1776348192.620916,1776348192.361000,259.916
453,1776348192.778460,1776348192.531000,247.460
454,1776348192.829899,1776348192.559000,270.899
455,1776348192.933111,1776348192.696000,237.111
456,1776348192.983774,1776348192.724000,259.774
457,1776348193.035393,1776348192.755000,280.393
458,1776348193.139119,1776348192.888000,251.119
459,1776348193.241193,1776348192.954000,287.193
460,1776348193.293279,1776348192.985000,308.279
461,1776348193.344056,1776348193.086000,258.056
462,1776348193.395151,1776348193.129000,266.151
463,1776348193.446310,1776348193.159000,287.310
464,1776348193.549490,1776348193.293000,256.490
465,1776348193.599911,1776348193.323000,276.911
466,1776348193.754688,1776348193.498000,256.688
467,1776348193.807435,1776348193.560000,247.435
468,1776348193.962847,1776348193.681000,281.847
469,1776348194.014633,1776348193.751000,263.633
470,1776348194.067751,1776348193.795000,272.751
471,1776348194.171270,1776348193.921000,250.270
472,1776348194.223418,1776348193.952000,271.418
473,1776348194.378204,1776348194.128000,250.204
474,1776348194.433077,1776348194.158000,275.077
475,1776348194.485631,1776348194.188000,297.631
476,1776348194.587389,1776348194.293000,294.389
477,1776348194.637972,1776348194.363000,274.972
478,1776348194.689488,1776348194.396000,293.488
479,1776348194.740739,1776348194.483000,257.739
480,1776348194.791502,1776348194.517000,274.502
481,1776348194.843056,1776348194.565000,278.056
482,1776348194.945820,1776348194.698000,247.820
483,1776348194.995880,1776348194.725000,270.880
