sample_index,t_received,t_display,latency_ms
162,1776350479.113522,1776350478.844000,269.522
163,1776350479.283507,1776350479.013000,270.507
164,1776350479.980051,1776350479.708000,272.051
165,1776350480.673564,1776350480.404000,269.564
166,1776350480.855738,1776350480.601000,254.738
167,1776350481.048051,1776350480.819000,229.051
168,1776350481.754754,1776350481.476000,278.754
169,1776350481.925299,1776350481.648000,277.299
170,1776350482.094470,1776350481.807000,287.470
171,1776350482.263574,1776350481.998000,265.574
172,1776350482.449552,1776350482.220000,229.552
173,1776350482.647631,1776350482.407000,240.631
174,1776350482.996448,1776350482.710000,286.448
175,1776350483.185019,1776350482.913000,272.019
176,1776350483.371991,1776350483.118000,253.991
177,1776350483.550279,1776350483.278000,272.279
178,1776350483.729385,1776350483.446000,283.385
179,1776350483.916043,1776350483.651000,265.043
180,1776350484.114383,1776350483.845000,269.383
181,1776350485.401852,1776350485.116000,285.852
182,1776350485.582604,1776350485.338000,244.604
183,1776350485.781949,1776350485.518000,263.949
184,1776350486.161607,1776350485.892000,269.607
185,1776350486.344221,1776350486.078000,266.221
186,1776350486.520462,1776350486.249000,271.462
187,1776350487.402217,1776350487.142000,260.217
188,1776350487.584154,1776350487.312000,272.154
189,1776350487.760941,1776350487.484000,276.941
190,1776350487.983498,1776350487.714000,269.498
191,1776350488.172961,1776350487.916000,256.962
192,1776350488.521020,1776350488.235000,286.020
193,1776350489.202337,1776350488.936000,266.337
194,1776350489.376462,1776350489.146000,230.462
195,1776350489.546092,1776350489.313000,233.092
196,1776350489.730232,1776350489.473000,257.232
197,1776350489.913090,1776350489.679000,234.090
198,1776350490.781062,1776350490.541000,240.062
199,1776350490.948370,1776350490.691000,257.370
200,1776350491.122219,1776350490.864000,258.219
201,1776350491.456329,1776350491.182000,274.329
202,1776350491.623505,1776350491.358000,265.505
203,1776350491.791618,1776350491.511000,280.618
204,1776350491.978652,1776350491.720000,258.652
205,1776350492.172380,1776350491.923000,249.380
206,1776350492.356842,1776350492.108000,248.842
207,1776350492.545697,1776350492.298000,247.697
208,1776350492.715208,1776350492.461000,254.208
209,1776350493.595798,1776350493.314000,281.798
210,1776350493.771429,1776350493.518000,253.429
211,1776350493.947292,1776350493.685000,262.292
212,1776350494.142450,1776350493.896000,246.450
213,1776350494.343690,1776350494.098000,245.690
214,1776350494.551792,1776350494.307000,244.792
215,1776350494.758200,1776350494.487000,271.200
216,1776350494.959539,1776350494.690000,269.539
217,1776350495.151983,1776350494.867000,284.982
218,1776350495.331788,1776350495.034000,297.788
219,1776350495.512358,1776350495.270000,242.358
220,1776350496.228962,1776350495.947000,281.962
221,1776350496.581100,1776350496.331000,250.100
222,1776350496.768074,1776350496.541000,227.074
223,1776350496.972355,1776350496.723000,249.355
224,1776350497.164898,1776350496.893000,271.898
225,1776350497.355120,1776350497.087000,268.120
226,1776350499.223336,1776350498.969000,254.336
227,1776350499.395955,1776350499.143000,252.955
228,1776350499.576986,1776350499.289000,287.986
229,1776350499.753754,1776350499.500000,253.754
230,1776350499.941252,1776350499.695000,246.252
231,1776350501.009778,1776350500.778000,231.778
232,1776350501.195585,1776350500.931000,264.585
233,1776350501.372707,1776350501.113000,259.707
234,1776350501.557771,1776350501.290000,267.771
235,1776350502.457793,1776350502.219000,238.793
236,1776350502.628795,1776350502.361000,267.795
237,1776350502.816445,1776350502.551000,265.445
238,1776350503.162847,1776350502.895000,267.847
239,1776350503.344025,1776350503.117000,227.025
240,1776350503.692838,1776350503.395000,297.838
241,1776350504.219190,1776350503.958000,261.190
242,1776350504.396391,1776350504.127000,269.391
243,1776350504.573251,1776350504.322000,251.251
244,1776350505.090557,1776350504.823000,267.557
245,1776350505.267066,1776350504.958000,309.067
246,1776350505.794555,1776350505.522000,272.555
247,1776350505.993591,1776350505.728000,265.591
248,1776350506.173079,1776350505.919000,254.079
249,1776350506.346757,1776350506.081000,265.757
250,1776350506.523557,1776350506.230000,293.557
251,1776350506.696263,1776350506.393000,303.263
252,1776350507.250422,1776350507.005000,245.421
253,1776350507.446292,1776350507.154000,292.292
254,1776350507.620990,1776350507.357000,263.990
255,1776350507.795069,1776350507.451000,344.069
256,1776350507.973422,1776350507.693000,280.422
257,1776350508.149985,1776350507.768000,381.985
258,1776350508.541796,1776350508.295000,246.796
259,1776350508.890398,1776350508.583000,307.398
260,1776350509.461039,1776350509.214000,247.039
261,1776350509.631660,1776350509.372000,259.660
262,1776350509.814209,1776350509.575000,239.209
263,1776350509.987961,1776350509.744000,243.961
264,1776350510.161170,1776350509.906000,255.171
265,1776350510.684465,1776350510.404000,280.465
266,1776350510.859846,1776350510.611000,248.846
267,1776350511.035455,1776350510.810000,225.456
268,1776350511.220154,1776350510.969000,251.154
269,1776350511.408266,1776350511.176000,232.266
270,1776350511.584359,1776350511.346000,238.359
271,1776350511.773014,1776350511.541000,232.014
272,1776350512.138432,1776350511.890000,248.432
273,1776350512.492965,1776350512.200000,292.965
274,1776350512.693418,1776350512.413000,280.418
275,1776350512.884386,1776350512.599000,285.386
276,1776350513.060821,1776350512.802000,258.821
277,1776350513.230023,1776350512.980000,250.023
278,1776350513.398687,1776350513.156000,242.687
279,1776350513.768861,1776350513.540000,228.861
280,1776350514.280573,1776350514.015000,265.573
281,1776350514.450911,1776350514.204000,246.911
282,1776350514.622382,1776350514.387000,235.382
283,1776350514.826598,1776350514.565000,261.598
284,1776350515.015603,1776350514.784000,231.603
285,1776350515.195308,1776350514.948000,247.308
286,1776350515.373471,1776350515.141000,232.471
287,1776350516.300287,1776350516.047000,253.287
288,1776350516.503274,1776350516.241000,262.275
289,1776350516.700608,1776350516.413000,287.608
290,1776350516.871906,1776350516.616000,255.906
291,1776350517.040271,1776350516.795000,245.270
292,1776350517.209613,1776350516.967000,242.613
293,1776350517.891215,1776350517.608000,283.215
294,1776350518.065225,1776350517.804000,261.225
295,1776350518.237500,1776350518.007000,230.500
296,1776350518.408775,1776350518.169000,239.775
297,1776350518.579065,1776350518.327000,252.065
298,1776350518.925649,1776350518.639000,286.649
299,1776350519.108524,1776350518.806000,302.524
300,1776350519.331621,1776350519.030000,301.621
301,1776350519.514513,1776350519.245000,269.514
302,1776350519.684275,1776350519.411000,273.275
303,1776350519.871676,1776350519.621000,250.676
304,1776350520.052557,1776350519.813000,239.557
305,1776350520.239282,1776350520.009000,230.282
306,1776350520.412235,1776350520.177000,235.235
307,1776350520.581877,1776350520.352000,229.877
308,1776350521.114742,1776350520.851000,263.741
309,1776350521.283158,1776350521.007000,276.158
310,1776350521.615135,1776350521.372000,243.135
311,1776350522.127228,1776350521.836000,291.228
312,1776350522.331439,1776350522.058000,273.439
313,1776350522.529340,1776350522.248000,281.340
314,1776350522.719017,1776350522.441000,278.017
315,1776350522.911095,1776350522.657000,254.095
316,1776350523.093668,1776350522.818000,275.668
317,1776350523.269618,1776350523.007000,262.618
318,1776350523.447537,1776350523.218000,229.537
319,1776350523.626411,1776350523.398000,228.411
320,1776350523.815846,1776350523.582000,233.846
321,1776350524.005323,1776350523.778000,227.323
322,1776350525.728257,1776350525.451000,277.257
323,1776350525.900497,1776350525.618000,282.497
324,1776350526.070493,1776350525.817000,253.494
325,1776350526.239290,1776350526.023000,216.290
326,1776350526.430593,1776350526.039000,391.593
