sample_index,t_received,t_stamp,age_ms
132,1776403325.599301,1776403325.512615,86.686
133,1776403325.650535,1776403325.592582,57.953
134,1776403325.691800,1776403325.631953,59.847
135,1776403325.724288,1776403325.673019,51.269
136,1776403325.762508,1776403325.707395,55.113
137,1776403325.798476,1776403325.751493,46.982
138,1776403325.841108,1776403325.794557,46.551
139,1776403325.886349,1776403325.831186,55.163
140,1776403325.932755,1776403325.872534,60.221
141,1776403325.975254,1776403325.912808,62.446
142,1776403326.012683,1776403325.954114,58.569
143,1776403326.063644,1776403326.019215,44.430
144,1776403326.117455,1776403326.037187,80.268
145,1776403326.174532,1776403326.111421,63.111
146,1776403326.213616,1776403326.149239,64.378
147,1776403326.256483,1776403326.189708,66.776
148,1776403326.295355,1776403326.231201,64.153
149,1776403326.329182,1776403326.272396,56.786
150,1776403326.365281,1776403326.314338,50.943
151,1776403326.404929,1776403326.352299,52.630
152,1776403326.444812,1776403326.392512,52.300
153,1776403326.490035,1776403326.432120,57.916
154,1776403326.525163,1776403326.470688,54.475
155,1776403326.561992,1776403326.516891,45.101
156,1776403326.598800,1776403326.553744,45.055
157,1776403326.639878,1776403326.591910,47.968
158,1776403326.683708,1776403326.629439,54.269
159,1776403326.724922,1776403326.669108,55.814
160,1776403326.762962,1776403326.715306,47.657
161,1776403326.794193,1776403326.755286,38.907
162,1776403326.838933,1776403326.795287,43.646
163,1776403326.875698,1776403326.836557,39.141
164,1776403326.916908,1776403326.875232,41.676
165,1776403326.957958,1776403326.910278,47.680
166,1776403326.998862,1776403326.950543,48.319
167,1776403327.031941,1776403326.992109,39.832
168,1776403327.077500,1776403327.034465,43.035
169,1776403327.121592,1776403327.074849,46.743
170,1776403327.163890,1776403327.118937,44.952
171,1776403327.202843,1776403327.155545,47.299
172,1776403327.262798,1776403327.212730,50.068
173,1776403327.306279,1776403327.229310,76.969
174,1776403327.347267,1776403327.268241,79.026
175,1776403327.399886,1776403327.308975,90.911
176,1776403327.442825,1776403327.389601,53.224
177,1776403327.482769,1776403327.429076,53.693
178,1776403327.523907,1776403327.470530,53.378
179,1776403327.562543,1776403327.512854,49.690
180,1776403327.605567,1776403327.551067,54.500
181,1776403327.641948,1776403327.588878,53.070
182,1776403327.681113,1776403327.635498,45.615
183,1776403327.724034,1776403327.674672,49.362
184,1776403327.764230,1776403327.714550,49.679
185,1776403327.799071,1776403327.753115,45.956
186,1776403327.832883,1776403327.792827,40.056
187,1776403327.874827,1776403327.836364,38.462
188,1776403327.931737,1776403327.875491,56.247
189,1776403327.969061,1776403327.913959,55.102
190,1776403328.009552,1776403327.951931,57.620
191,1776403328.051296,1776403327.995518,55.777
192,1776403328.092031,1776403328.031939,60.093
193,1776403328.125787,1776403328.071004,54.782
194,1776403328.161986,1776403328.115865,46.121
195,1776403328.199003,1776403328.152462,46.540
196,1776403328.239639,1776403328.190793,48.846
197,1776403328.280845,1776403328.232107,48.738
198,1776403328.312874,1776403328.272134,40.740
199,1776403328.355538,1776403328.315479,40.060
200,1776403328.394244,1776403328.348740,45.505
201,1776403328.448787,1776403328.410292,38.495
202,1776403328.487047,1776403328.429445,57.603
203,1776403328.534112,1776403328.470221,63.892
204,1776403328.580670,1776403328.511716,68.954
205,1776403328.627359,1776403328.550224,77.135
206,1776403328.676956,1776403328.591427,85.530
207,1776403328.717561,1776403328.667879,49.681
208,1776403328.764273,1776403328.714151,50.122
209,1776403328.800951,1776403328.753175,47.776
210,1776403328.840121,1776403328.792008,48.113
211,1776403328.879047,1776403328.835161,43.886
212,1776403328.921170,1776403328.871503,49.667
213,1776403328.958731,1776403328.914221,44.510
214,1776403328.994908,1776403328.954777,40.131
215,1776403329.048389,1776403328.993490,54.899
216,1776403329.100852,1776403329.034703,66.149
217,1776403329.151559,1776403329.073816,77.743
218,1776403329.199247,1776403329.116571,82.676
219,1776403329.244151,1776403329.192933,51.218
220,1776403329.282375,1776403329.235047,47.328
221,1776403329.323902,1776403329.274544,49.358
222,1776403329.365757,1776403329.314602,51.156
223,1776403329.399257,1776403329.352051,47.207
224,1776403329.431631,1776403329.393582,38.049
225,1776403329.466753,1776403329.429488,37.265
226,1776403329.510495,1776403329.471023,39.472
227,1776403329.559239,1776403329.513805,45.434
228,1776403329.596966,1776403329.551475,45.491
229,1776403329.664614,1776403329.608472,56.142
230,1776403329.713156,1776403329.628917,84.239
231,1776403329.772207,1776403329.666728,105.480
232,1776403329.816062,1776403329.751267,64.796
233,1776403329.856085,1776403329.792173,63.912
234,1776403329.896228,1776403329.827527,68.701
235,1776403329.934036,1776403329.871722,62.313
236,1776403329.979793,1776403329.914233,65.560
237,1776403330.017973,1776403329.951827,66.147
238,1776403330.062469,1776403329.988605,73.864
239,1776403330.107224,1776403330.033346,73.878
240,1776403330.142709,1776403330.071427,71.282
241,1776403330.182310,1776403330.113025,69.284
242,1776403330.224511,1776403330.150479,74.032
243,1776403330.264220,1776403330.193593,70.627
244,1776403330.298104,1776403330.234430,63.674
245,1776403330.333093,1776403330.271495,61.599
246,1776403330.373579,1776403330.312143,61.437
247,1776403330.408517,1776403330.350980,57.537
248,1776403330.442864,1776403330.393430,49.434
249,1776403330.482153,1776403330.432067,50.086
250,1776403330.524512,1776403330.468862,55.650
251,1776403330.563781,1776403330.514734,49.048
252,1776403330.607089,1776403330.555064,52.025
253,1776403330.648688,1776403330.592718,55.970
254,1776403330.680844,1776403330.639883,40.962
255,1776403330.713866,1776403330.673289,40.577
256,1776403330.751247,1776403330.715317,35.930
257,1776403330.794726,1776403330.753713,41.012
258,1776403330.869824,1776403330.817038,52.787
259,1776403330.908123,1776403330.835872,72.252
260,1776403330.941998,1776403330.868672,73.326
261,1776403330.980551,1776403330.909422,71.128
262,1776403331.017510,1776403330.949667,67.843
263,1776403331.052129,1776403330.989385,62.744
264,1776403331.092530,1776403331.031680,60.850
265,1776403331.130975,1776403331.072779,58.196
266,1776403331.170350,1776403331.112969,57.381
267,1776403331.224829,1776403331.146076,78.753
268,1776403331.276059,1776403331.192242,83.817
269,1776403331.313557,1776403331.271204,42.352
270,1776403331.346251,1776403331.312375,33.876
271,1776403331.384178,1776403331.348688,35.490
272,1776403331.427537,1776403331.390048,37.489
273,1776403331.475534,1776403331.432876,42.658
274,1776403331.510930,1776403331.468396,42.533
275,1776403331.544287,1776403331.508489,35.798
276,1776403331.584253,1776403331.552678,31.575
277,1776403331.632709,1776403331.591154,41.555
278,1776403331.682356,1776403331.632344,50.011
279,1776403331.724579,1776403331.672060,52.519
280,1776403331.765493,1776403331.713688,51.806
281,1776403331.802615,1776403331.751945,50.671
282,1776403331.840583,1776403331.789145,51.438
283,1776403331.888250,1776403331.835846,52.404
284,1776403331.931310,1776403331.870440,60.871
285,1776403331.972597,1776403331.912149,60.448
286,1776403332.026218,1776403331.951036,75.182
287,1776403332.079116,1776403332.024137,54.979
288,1776403332.131834,1776403332.069490,62.344
289,1776403332.174988,1776403332.110862,64.126
290,1776403332.215964,1776403332.148710,67.254
291,1776403332.248265,1776403332.190331,57.934
292,1776403332.282166,1776403332.231926,50.241
293,1776403332.315508,1776403332.270424,45.084
294,1776403332.359215,1776403332.313840,45.375
295,1776403332.400654,1776403332.352732,47.922
296,1776403332.442865,1776403332.390434,52.431
297,1776403332.475987,1776403332.433704,42.283
298,1776403332.510843,1776403332.472131,38.712
299,1776403332.561932,1776403332.513116,48.816
300,1776403332.602206,1776403332.553785,48.420
301,1776403332.644374,1776403332.588586,55.789
302,1776403332.689968,1776403332.632700,57.268
303,1776403332.735560,1776403332.668113,67.447
304,1776403332.768463,1776403332.712028,56.435
305,1776403332.798357,1776403332.751972,46.385
306,1776403332.833390,1776403332.791616,41.774
307,1776403332.867093,1776403332.831706,35.388
308,1776403332.907673,1776403332.870173,37.500
309,1776403332.950242,1776403332.916796,33.445
310,1776403332.983137,1776403332.955798,27.339
311,1776403333.018252,1776403332.991586,26.667
312,1776403333.072401,1776403333.031109,41.292
313,1776403333.116868,1776403333.078591,38.278
314,1776403333.149904,1776403333.111366,38.538
315,1776403333.184184,1776403333.151872,32.312
316,1776403333.255837,1776403333.219857,35.980
317,1776403333.290160,1776403333.238853,51.308
318,1776403333.324330,1776403333.267092,57.239
319,1776403333.348024,1776403333.308730,39.293
320,1776403333.378716,1776403333.349142,29.575
321,1776403333.412401,1776403333.385692,26.710
322,1776403333.458715,1776403333.431223,27.492
323,1776403333.498211,1776403333.468277,29.933
324,1776403333.546299,1776403333.511994,34.305
325,1776403333.590694,1776403333.546795,43.900
326,1776403333.629110,1776403333.587165,41.945
327,1776403333.657899,1776403333.627595,30.304
328,1776403333.702010,1776403333.666126,35.884
329,1776403333.747014,1776403333.707761,39.253
330,1776403333.779945,1776403333.749049,30.896
331,1776403333.816206,1776403333.785403,30.802
332,1776403333.872809,1776403333.834761,38.049
333,1776403333.907903,1776403333.874349,33.553
334,1776403333.947882,1776403333.913696,34.186
335,1776403333.986777,1776403333.951719,35.058
336,1776403334.023300,1776403333.987227,36.073
337,1776403334.069062,1776403334.030238,38.824
338,1776403334.110016,1776403334.071893,38.122
339,1776403334.150175,1776403334.112530,37.645
340,1776403334.185534,1776403334.151523,34.011
341,1776403334.231315,1776403334.192486,38.830
342,1776403334.265963,1776403334.234302,31.661
343,1776403334.298126,1776403334.267678,30.448
344,1776403334.357007,1776403334.315389,41.618
345,1776403334.392779,1776403334.355331,37.448
346,1776403334.456445,1776403334.416587,39.859
347,1776403334.485045,1776403334.434093,50.952
348,1776403334.518138,1776403334.465841,52.297
349,1776403334.551043,1776403334.510607,40.436
350,1776403334.578128,1776403334.551269,26.859
351,1776403334.616385,1776403334.590936,25.449
352,1776403334.661731,1776403334.629324,32.406
353,1776403334.706323,1776403334.669772,36.551
354,1776403334.744232,1776403334.714028,30.204
355,1776403334.779042,1776403334.751699,27.342
356,1776403334.819849,1776403334.789760,30.089
357,1776403334.873990,1776403334.838549,35.441
358,1776403334.906111,1776403334.874569,31.542
359,1776403334.943015,1776403334.912336,30.680
360,1776403334.980627,1776403334.951571,29.056
361,1776403335.025634,1776403334.993158,32.475
362,1776403335.063905,1776403335.034749,29.155
363,1776403335.102574,1776403335.070446,32.127
364,1776403335.145810,1776403335.114386,31.424
365,1776403335.184590,1776403335.151998,32.593
366,1776403335.218249,1776403335.189070,29.179
367,1776403335.257838,1776403335.226526,31.312
368,1776403335.292593,1776403335.265331,27.263
369,1776403335.349584,1776403335.307143,42.440
370,1776403335.380649,1776403335.346586,34.063
371,1776403335.416653,1776403335.386634,30.020
372,1776403335.459027,1776403335.427070,31.956
373,1776403335.511141,1776403335.471316,39.824
374,1776403335.545600,1776403335.511840,33.760
375,1776403335.585426,1776403335.550345,35.081
376,1776403335.658657,1776403335.623667,34.990
377,1776403335.687414,1776403335.642936,44.478
378,1776403335.719795,1776403335.668572,51.224
379,1776403335.754018,1776403335.710249,43.769
380,1776403335.787538,1776403335.751153,36.385
381,1776403335.838580,1776403335.793137,45.443
382,1776403335.875546,1776403335.833270,42.276
383,1776403335.912402,1776403335.868188,44.214
384,1776403335.949842,1776403335.908446,41.396
385,1776403335.986939,1776403335.952358,34.581
386,1776403336.019949,1776403335.988808,31.141
387,1776403336.069352,1776403336.031947,37.405
388,1776403336.109522,1776403336.069170,40.352
389,1776403336.149742,1776403336.110518,39.224
390,1776403336.181696,1776403336.152868,28.829
391,1776403336.219260,1776403336.190781,28.479
392,1776403336.272469,1776403336.231838,40.632
393,1776403336.312163,1776403336.271863,40.300
394,1776403336.347112,1776403336.308661,38.451
395,1776403336.376940,1776403336.344992,31.947
396,1776403336.433417,1776403336.393680,39.737
397,1776403336.474581,1776403336.438585,35.996
398,1776403336.506828,1776403336.467163,39.665
399,1776403336.550955,1776403336.511658,39.297
400,1776403336.602682,1776403336.557092,45.590
401,1776403336.633450,1776403336.596133,37.317
402,1776403336.672565,1776403336.633416,39.149
403,1776403336.716021,1776403336.674519,41.502
404,1776403336.754256,1776403336.717837,36.419
405,1776403336.793174,1776403336.756046,37.128
406,1776403336.867191,1776403336.829380,37.812
407,1776403336.907737,1776403336.847572,60.165
408,1776403336.952748,1776403336.906078,46.670
409,1776403336.983298,1776403336.944511,38.787
410,1776403337.018795,1776403336.986308,32.487
411,1776403337.060867,1776403337.027787,33.080
412,1776403337.113374,1776403337.072673,40.700
413,1776403337.152604,1776403337.114635,37.969
414,1776403337.192860,1776403337.154542,38.318
415,1776403337.236265,1776403337.195497,40.769
416,1776403337.270725,1776403337.229288,41.437
417,1776403337.312625,1776403337.271173,41.451
418,1776403337.354582,1776403337.318244,36.338
419,1776403337.406879,1776403337.357388,49.492
420,1776403337.444484,1776403337.393898,50.585
421,1776403337.486741,1776403337.437743,48.999
422,1776403337.535168,1776403337.465971,69.197
423,1776403337.581021,1776403337.506267,74.754
424,1776403337.628402,1776403337.556943,71.460
425,1776403337.674662,1776403337.593928,80.735
426,1776403337.712268,1776403337.643012,69.256
427,1776403337.750021,1776403337.677007,73.014
428,1776403337.780648,1776403337.718345,62.303
429,1776403337.818334,1776403337.757630,60.704
430,1776403337.851012,1776403337.794737,56.274
431,1776403337.882078,1776403337.837923,44.156
432,1776403337.913939,1776403337.877246,36.693
433,1776403337.952805,1776403337.915169,37.636
434,1776403337.994044,1776403337.955627,38.417
435,1776403338.068137,1776403338.030135,38.002
436,1776403338.110326,1776403338.050433,59.892
437,1776403338.151963,1776403338.070713,81.251
438,1776403338.200950,1776403338.111457,89.493
439,1776403338.233881,1776403338.190771,43.109
440,1776403338.280249,1776403338.235334,44.915
441,1776403338.325864,1776403338.271079,54.785
442,1776403338.363663,1776403338.314802,48.861
443,1776403338.387490,1776403338.351350,36.140
444,1776403338.421238,1776403338.387014,34.224
445,1776403338.459663,1776403338.424678,34.986
446,1776403338.519035,1776403338.474608,44.427
447,1776403338.552537,1776403338.516804,35.734
448,1776403338.594398,1776403338.547315,47.084
449,1776403338.629082,1776403338.585475,43.607
450,1776403338.669046,1776403338.626735,42.311
451,1776403338.712065,1776403338.666366,45.699
452,1776403338.748201,1776403338.707845,40.356
453,1776403338.784140,1776403338.744553,39.587
454,1776403338.828064,1776403338.787920,40.144
455,1776403338.874707,1776403338.828967,45.740
456,1776403338.913550,1776403338.867691,45.859
457,1776403338.955567,1776403338.907685,47.882
458,1776403339.001523,1776403338.955014,46.508
459,1776403339.045711,1776403338.993468,52.243
460,1776403339.093300,1776403339.036528,56.772
461,1776403339.122005,1776403339.075377,46.628
462,1776403339.154901,1776403339.117391,37.511
463,1776403339.187108,1776403339.154105,33.003
464,1776403339.259102,1776403339.226176,32.925
465,1776403339.293080,1776403339.246257,46.824
466,1776403339.327262,1776403339.270322,56.940
467,1776403339.368151,1776403339.309743,58.408
468,1776403339.403406,1776403339.352192,51.214
469,1776403339.442543,1776403339.389132,53.411
470,1776403339.494240,1776403339.434582,59.658
471,1776403339.538543,1776403339.471833,66.710
472,1776403339.576358,1776403339.516914,59.444
473,1776403339.610114,1776403339.555389,54.725
474,1776403339.644803,1776403339.595386,49.417
475,1776403339.682357,1776403339.636701,45.656
476,1776403339.714854,1776403339.674155,40.699
477,1776403339.760113,1776403339.717449,42.664
478,1776403339.795284,1776403339.752100,43.184
479,1776403339.835884,1776403339.798571,37.312
480,1776403339.874367,1776403339.833830,40.538
481,1776403339.917881,1776403339.876527,41.355
482,1776403339.969079,1776403339.916293,52.786
483,1776403340.006469,1776403339.954419,52.050
484,1776403340.045370,1776403339.997823,47.547
485,1776403340.082962,1776403340.037988,44.974
486,1776403340.116598,1776403340.077478,39.120
487,1776403340.160929,1776403340.116661,44.268
488,1776403340.204131,1776403340.156957,47.174
489,1776403340.249404,1776403340.194779,54.625
490,1776403340.278536,1776403340.237891,40.645
491,1776403340.312750,1776403340.277074,35.676
492,1776403340.352741,1776403340.317592,35.149
493,1776403340.386442,1776403340.353688,32.754
494,1776403340.468274,1776403340.434534,33.739
495,1776403340.504961,1776403340.454978,49.984
496,1776403340.534940,1776403340.471888,63.052
497,1776403340.568886,1776403340.507092,61.795
498,1776403340.596326,1776403340.547601,48.725
499,1776403340.627634,1776403340.588928,38.706
500,1776403340.660524,1776403340.627938,32.586
501,1776403340.696322,1776403340.665535,30.787
502,1776403340.746439,1776403340.707804,38.635
503,1776403340.788380,1776403340.752689,35.691
504,1776403340.822364,1776403340.788853,33.511
505,1776403340.872789,1776403340.832920,39.869
506,1776403340.911719,1776403340.869322,42.397
507,1776403340.952906,1776403340.910678,42.228
508,1776403340.985135,1776403340.954453,30.682
509,1776403341.021614,1776403340.995369,26.244
510,1776403341.060084,1776403341.025156,34.929
511,1776403341.112013,1776403341.073825,38.188
512,1776403341.150563,1776403341.115350,35.213
513,1776403341.189556,1776403341.155152,34.404
514,1776403341.219107,1776403341.185061,34.046
515,1776403341.272721,1776403341.232633,40.088
516,1776403341.306029,1776403341.271430,34.599
517,1776403341.351799,1776403341.312000,39.799
518,1776403341.389526,1776403341.352154,37.372
519,1776403341.422928,1776403341.389794,33.134
520,1776403341.457097,1776403341.427028,30.069
521,1776403341.494420,1776403341.466283,28.137
522,1776403341.546130,1776403341.509659,36.471
523,1776403341.586377,1776403341.547345,39.032
524,1776403341.646711,1776403341.603925,42.785
525,1776403341.688851,1776403341.625834,63.017
526,1776403341.733239,1776403341.666240,66.999
527,1776403341.772741,1776403341.705627,67.113
528,1776403341.814716,1776403341.746530,68.186
529,1776403341.851256,1776403341.784616,66.639
530,1776403341.888456,1776403341.827589,60.867
531,1776403341.922402,1776403341.865566,56.837
532,1776403341.958188,1776403341.906581,51.607
533,1776403341.995131,1776403341.945451,49.680
534,1776403342.044070,1776403341.986952,57.119
535,1776403342.095282,1776403342.026871,68.410
536,1776403342.141276,1776403342.068028,73.248
537,1776403342.171733,1776403342.109142,62.591
538,1776403342.209508,1776403342.153601,55.907
539,1776403342.251011,1776403342.185529,65.482
540,1776403342.290069,1776403342.226126,63.943
541,1776403342.324188,1776403342.264361,59.827
542,1776403342.360202,1776403342.308935,51.267
543,1776403342.386502,1776403342.354639,31.862
544,1776403342.419761,1776403342.392832,26.929
545,1776403342.472770,1776403342.433771,38.999
546,1776403342.511269,1776403342.470030,41.240
547,1776403342.569340,1776403342.514095,55.245
548,1776403342.622342,1776403342.553850,68.492
549,1776403342.676790,1776403342.591201,85.588
550,1776403342.717021,1776403342.630328,86.694
551,1776403342.750447,1776403342.712744,37.702
552,1776403342.786884,1776403342.750721,36.164
553,1776403342.873719,1776403342.827694,46.025
554,1776403342.925728,1776403342.869359,56.369
555,1776403342.978336,1776403342.911936,66.400
556,1776403343.025494,1776403342.948451,77.044
557,1776403343.073671,1776403342.987480,86.190
558,1776403343.117801,1776403343.068396,49.405
559,1776403343.172457,1776403343.112379,60.077
560,1776403343.208892,1776403343.153144,55.748
561,1776403343.249527,1776403343.193172,56.355
562,1776403343.288281,1776403343.231242,57.038
563,1776403343.319373,1776403343.269797,49.576
564,1776403343.354057,1776403343.315474,38.583
565,1776403343.382953,1776403343.354488,28.466
566,1776403343.416942,1776403343.390857,26.084
567,1776403343.480664,1776403343.435430,45.234
568,1776403343.515614,1776403343.469724,45.890
569,1776403343.568405,1776403343.516351,52.054
570,1776403343.609793,1776403343.554318,55.475
