sample_index,t_received,t_stamp,age_ms
173,1776403244.683896,1776403244.548419,135.478
174,1776403244.788043,1776403244.630121,157.923
175,1776403244.895478,1776403244.755397,140.081
176,1776403245.006854,1776403244.868639,138.215
177,1776403245.118210,1776403244.988649,129.561
178,1776403245.234162,1776403245.069699,164.464
179,1776403245.348469,1776403245.188061,160.408
180,1776403245.450185,1776403245.310255,139.930
181,1776403245.550631,1776403245.396270,154.361
182,1776403245.652177,1776403245.512751,139.426
183,1776403245.752999,1776403245.614259,138.740
184,1776403245.850002,1776403245.708995,141.006
185,1776403245.948262,1776403245.826010,122.253
186,1776403246.043518,1776403245.911095,132.423
187,1776403246.141452,1776403246.025743,115.709
188,1776403246.243305,1776403246.105678,137.627
189,1776403246.340535,1776403246.188422,152.113
190,1776403246.443412,1776403246.312727,130.685
191,1776403246.545040,1776403246.393332,151.708
192,1776403246.645630,1776403246.511588,134.043
193,1776403246.748232,1776403246.593076,155.156
194,1776403246.849994,1776403246.709302,140.692
195,1776403246.950611,1776403246.811601,139.010
196,1776403247.049485,1776403246.911889,137.596
197,1776403247.152189,1776403246.988929,163.260
198,1776403247.255960,1776403247.117094,138.866
199,1776403247.361282,1776403247.228540,132.742
200,1776403247.459984,1776403247.309623,150.362
201,1776403247.557693,1776403247.432262,125.431
202,1776403247.654999,1776403247.513528,141.472
203,1776403247.758079,1776403247.630275,127.805
204,1776403247.855431,1776403247.715185,140.246
205,1776403247.958932,1776403247.834247,124.686
206,1776403248.066355,1776403247.911162,155.193
207,1776403248.170318,1776403248.040983,129.334
208,1776403248.269829,1776403248.151456,118.374
209,1776403248.377925,1776403248.230771,147.154
210,1776403248.485876,1776403248.353746,132.130
211,1776403248.597420,1776403248.437244,160.176
212,1776403248.702267,1776403248.556468,145.799
213,1776403248.812414,1776403248.668532,143.882
214,1776403248.918522,1776403248.795119,123.403
215,1776403249.020395,1776403248.874198,146.197
216,1776403249.125092,1776403248.990668,134.424
217,1776403249.227327,1776403249.075252,152.075
218,1776403249.323994,1776403249.155017,168.977
219,1776403249.422058,1776403249.270193,151.866
220,1776403249.520960,1776403249.390566,130.394
221,1776403249.625970,1776403249.473807,152.163
222,1776403249.734736,1776403249.595533,139.203
223,1776403249.841448,1776403249.715501,125.947
224,1776403249.947635,1776403249.794106,153.530
225,1776403250.054832,1776403249.915032,139.800
226,1776403250.150898,1776403250.035038,115.861
227,1776403250.253525,1776403250.116573,136.952
228,1776403250.347180,1776403250.234012,113.168
229,1776403250.441453,1776403250.309775,131.678
230,1776403250.542644,1776403250.418659,123.986
231,1776403250.638791,1776403250.508066,130.725
232,1776403250.732793,1776403250.590335,142.458
233,1776403250.834329,1776403250.711159,123.170
234,1776403250.935560,1776403250.789232,146.328
235,1776403251.036586,1776403250.908441,128.145
236,1776403251.144038,1776403250.985982,158.056
237,1776403251.259430,1776403251.111545,147.885
238,1776403251.375186,1776403251.229424,145.763
239,1776403251.479395,1776403251.347742,131.653
240,1776403251.581154,1776403251.426500,154.655
241,1776403251.686079,1776403251.546685,139.394
242,1776403251.782683,1776403251.665252,117.431
243,1776403251.875320,1776403251.747365,127.955
244,1776403251.989312,1776403251.834278,155.034
245,1776403252.105750,1776403251.948765,156.985
246,1776403252.213234,1776403252.067711,145.524
247,1776403252.314752,1776403252.188593,126.160
248,1776403252.417109,1776403252.272172,144.937
249,1776403252.522687,1776403252.388610,134.077
250,1776403252.635204,1776403252.468173,167.031
251,1776403252.744499,1776403252.589060,155.439
252,1776403252.855944,1776403252.713355,142.590
253,1776403252.969802,1776403252.829262,140.540
254,1776403253.078194,1776403252.950763,127.431
255,1776403253.178455,1776403253.027178,151.277
256,1776403253.290765,1776403253.148773,141.992
257,1776403253.401528,1776403253.267508,134.021
258,1776403253.517040,1776403253.351262,165.777
259,1776403253.625569,1776403253.471871,153.698
260,1776403253.728568,1776403253.591851,136.717
261,1776403253.823005,1776403253.670636,152.369
262,1776403253.927803,1776403253.790374,137.428
263,1776403254.027906,1776403253.870589,157.317
264,1776403254.122859,1776403254.006411,116.448
265,1776403254.227994,1776403254.068335,159.659
266,1776403254.342099,1776403254.190989,151.110
267,1776403254.460234,1776403254.308595,151.639
268,1776403254.564485,1776403254.426309,138.175
269,1776403254.668844,1776403254.546754,122.090
270,1776403254.765815,1776403254.626011,139.804
271,1776403254.860724,1776403254.710272,150.451
272,1776403254.965500,1776403254.824699,140.801
273,1776403255.067636,1776403254.912700,154.936
274,1776403255.170673,1776403255.034445,136.228
275,1776403255.281415,1776403255.153669,127.747
276,1776403255.380792,1776403255.245453,135.339
277,1776403255.484838,1776403255.345085,139.753
278,1776403255.590828,1776403255.430787,160.041
279,1776403255.693041,1776403255.551428,141.614
280,1776403255.799955,1776403255.672521,127.434
281,1776403255.913176,1776403255.750162,163.014
282,1776403256.023676,1776403255.866847,156.829
283,1776403256.126073,1776403255.990643,135.430
284,1776403256.232955,1776403256.108195,124.760
285,1776403256.329512,1776403256.189321,140.191
286,1776403256.431020,1776403256.272149,158.871
287,1776403256.526718,1776403256.351078,175.640
288,1776403256.623703,1776403256.468587,155.116
289,1776403256.726527,1776403256.593388,133.139
290,1776403256.834248,1776403256.674402,159.845
291,1776403256.931754,1776403256.790997,140.757
292,1776403257.033307,1776403256.874625,158.682
293,1776403257.135173,1776403256.989007,146.165
294,1776403257.240622,1776403257.113177,127.445
295,1776403257.336534,1776403257.193119,143.415
296,1776403257.441339,1776403257.314621,126.718
297,1776403257.548734,1776403257.393661,155.073
298,1776403257.659782,1776403257.507815,151.967
299,1776403257.768054,1776403257.640115,127.939
300,1776403257.867771,1776403257.709195,158.576
301,1776403257.967298,1776403257.833569,133.729
302,1776403258.067930,1776403257.912986,154.943
303,1776403258.175024,1776403258.034982,140.042
304,1776403258.279929,1776403258.154506,125.422
305,1776403258.377532,1776403258.233567,143.965
306,1776403258.487661,1776403258.354434,133.226
307,1776403258.589877,1776403258.439724,150.153
308,1776403258.690360,1776403258.556591,133.769
309,1776403258.785991,1776403258.634352,151.639
310,1776403258.890324,1776403258.755297,135.027
311,1776403258.982450,1776403258.874552,107.899
312,1776403259.081760,1776403258.951206,130.554
313,1776403259.179485,1776403259.035242,144.243
314,1776403259.280945,1776403259.155648,125.298
315,1776403259.375496,1776403259.237910,137.587
316,1776403259.475810,1776403259.356288,119.522
317,1776403259.573304,1776403259.436300,137.004
318,1776403259.674281,1776403259.515127,159.154
319,1776403259.778709,1776403259.638327,140.382
320,1776403259.883240,1776403259.753984,129.256
321,1776403259.988946,1776403259.836185,152.761
