sample_index,t_received,t_stamp,age_ms
166,1776403179.833052,1776403179.749248,83.804
167,1776403179.873486,1776403179.791364,82.122
168,1776403179.917907,1776403179.830641,87.266
169,1776403179.962411,1776403179.865431,96.980
170,1776403179.998081,1776403179.948978,49.103
171,1776403180.034142,1776403179.987370,46.772
172,1776403180.069979,1776403180.026260,43.719
173,1776403180.116509,1776403180.069622,46.887
174,1776403180.152038,1776403180.105899,46.139
175,1776403180.195363,1776403180.147646,47.718
176,1776403180.237506,1776403180.189500,48.006
177,1776403180.279440,1776403180.228442,50.998
178,1776403180.316630,1776403180.269270,47.360
179,1776403180.363845,1776403180.315672,48.173
180,1776403180.406762,1776403180.355754,51.008
181,1776403180.444974,1776403180.387574,57.400
182,1776403180.484845,1776403180.432290,52.555
183,1776403180.528207,1776403180.471151,57.056
184,1776403180.570708,1776403180.515147,55.561
185,1776403180.612730,1776403180.553987,58.743
186,1776403180.651062,1776403180.592886,58.176
187,1776403180.690121,1776403180.632601,57.520
188,1776403180.730521,1776403180.667588,62.933
189,1776403180.768992,1776403180.713347,55.645
190,1776403180.804801,1776403180.755578,49.223
191,1776403180.865068,1776403180.815871,49.198
192,1776403180.907785,1776403180.833437,74.348
193,1776403180.953620,1776403180.867383,86.237
194,1776403180.988408,1776403180.911642,76.766
195,1776403181.024080,1776403180.951441,72.639
196,1776403181.065827,1776403180.990981,74.845
197,1776403181.106130,1776403181.027719,78.410
198,1776403181.146395,1776403181.067914,78.481
199,1776403181.183880,1776403181.112165,71.715
200,1776403181.221205,1776403181.149856,71.349
201,1776403181.264611,1776403181.192175,72.436
202,1776403181.306072,1776403181.230690,75.382
203,1776403181.348500,1776403181.276098,72.402
204,1776403181.387771,1776403181.315522,72.248
205,1776403181.431047,1776403181.356130,74.917
206,1776403181.468339,1776403181.396747,71.592
207,1776403181.507354,1776403181.436688,70.666
208,1776403181.548077,1776403181.470735,77.342
209,1776403181.586391,1776403181.515365,71.027
210,1776403181.623725,1776403181.556375,67.350
211,1776403181.662889,1776403181.595803,67.085
212,1776403181.700567,1776403181.632845,67.722
213,1776403181.743787,1776403181.674765,69.022
214,1776403181.786230,1776403181.713604,72.626
215,1776403181.829491,1776403181.753492,75.999
216,1776403181.870311,1776403181.790787,79.525
217,1776403181.910867,1776403181.834052,76.815
218,1776403181.949673,1776403181.871882,77.791
219,1776403181.987839,1776403181.913606,74.234
220,1776403182.028752,1776403181.956567,72.184
221,1776403182.069939,1776403182.010118,59.822
222,1776403182.107177,1776403182.030496,76.681
223,1776403182.145573,1776403182.065880,79.693
224,1776403182.183744,1776403182.110808,72.936
